,Time,Cooling efficiency,Cooling power,Motor power W,Volume flow l/min 1,Volume flow l/min 2,Pressure bar 1,Pressure bar 2,Pressure bar 3,Pressure bar 4,Pressure bar 5,Pressure bar 6,Efficiency factor,Temperature 1,Temperature  2,Temperature  3,Temperature  4, Vibration mm/s,Date
31560,31560,19.613,1.56,2250.2,8.493,8.946,145.16,119.91,1.812,0.0,8.373,8.318,66.674,57.945,61.398,59.391,52.945,0.687,2018-05-17 22:00:00
31620,31620,19.483,1.554,2248.2,8.619,8.914,145.29,120.09,1.773,0.0,8.387,8.332,66.407,57.93,61.414,59.406,52.945,0.677,2018-05-17 23:00:00
31680,31680,19.297,1.534,2256.0,8.796,8.851,145.38,120.08,1.836,0.0,8.413,8.373,66.173,57.934,61.805,59.324,52.934,0.621,2018-05-18 00:00:00
31740,31740,19.246,1.535,2254.0,8.591,8.931,145.27,119.99,1.844,0.0,8.37,8.309,66.201,57.879,61.586,59.301,52.945,0.689,2018-05-18 01:00:00
31800,31800,19.093,1.509,2256.0,8.806,8.928,145.24,119.88,1.977,0.0,8.42,8.376,66.0,57.781,61.844,59.152,52.855,0.606,2018-05-18 02:00:00
31860,31860,19.096,1.509,2256.0,8.874,8.916,145.24,119.97,1.883,0.0,8.42,8.37,66.598,57.797,61.59,59.148,52.871,0.688,2018-05-18 03:00:00
31920,31920,19.309,1.525,2254.4,8.455,8.931,145.4,119.86,1.828,0.0,8.368,8.33,66.548,57.742,61.574,59.105,52.781,0.692,2018-05-18 04:00:00
31980,31980,19.251,1.51,2254.4,8.815,8.989,145.55,120.0,1.953,0.0,8.389,8.344,66.025,57.68,61.777,58.988,52.727,0.613,2018-05-18 05:00:00
32040,32040,19.657,1.545,2250.0,8.432,8.899,145.32,120.19,1.844,0.0,8.428,8.389,66.489,57.68,61.535,59.148,52.711,0.687,2018-05-18 06:00:00
32100,32100,19.609,1.527,2254.2,8.734,8.908,145.38,119.89,1.898,0.0,8.434,8.384,66.466,57.691,61.426,59.086,52.707,0.691,2018-05-18 07:00:00
32160,32160,19.191,1.508,2239.4,9.051,8.921,145.29,119.92,1.805,1.503,8.4,8.353,66.896,57.703,61.355,59.074,52.781,0.692,2018-05-18 08:00:00
32220,32220,19.332,1.519,2237.0,9.158,8.904,145.32,120.24,1.867,0.0,8.394,8.351,66.596,57.707,61.332,59.094,52.789,0.705,2018-05-18 09:00:00
32280,32280,19.649,1.543,2231.8,8.544,8.884,145.23,120.02,1.859,0.0,8.422,8.366,67.238,57.703,61.25,59.234,52.777,0.708,2018-05-18 10:00:00
32340,32340,19.49,1.54,2233.8,8.659,8.886,145.3,119.94,1.844,0.0,8.36,8.325,67.034,57.805,61.254,59.152,52.859,0.689,2018-05-18 11:00:00
32400,32400,19.702,1.551,2232.0,8.566,8.864,145.19,119.94,1.898,0.0,8.41,8.361,66.902,57.793,61.293,59.328,52.859,0.695,2018-05-18 12:00:00
32460,32460,19.411,1.54,2235.6,8.668,8.909,145.22,119.94,1.891,0.0,8.371,8.319,66.54,57.715,61.266,59.301,52.945,0.718,2018-05-18 13:00:00
32520,32520,19.487,1.532,2237.8,8.834,8.905,145.48,120.16,2.0,0.0,8.383,8.34,66.613,57.797,61.289,59.34,52.934,0.71,2018-05-18 14:00:00
32580,32580,19.301,1.523,2239.6,8.609,8.922,145.24,120.14,1.977,0.0,8.377,8.339,66.964,57.77,61.328,59.316,52.937,0.689,2018-05-18 15:00:00
32640,32640,19.494,1.547,2239.6,8.458,8.904,145.27,120.02,1.883,0.0,8.353,8.304,66.895,57.758,61.32,59.371,52.965,0.695,2018-05-18 16:00:00
32700,32700,19.243,1.523,2239.8,8.615,8.897,145.38,120.1,1.844,0.0,8.378,8.34,66.705,57.859,61.344,59.309,52.992,0.695,2018-05-18 17:00:00
32760,32760,19.469,1.54,2236.6,9.266,8.907,145.41,120.02,1.898,0.0,8.377,8.336,66.509,57.914,61.41,59.379,52.945,0.705,2018-05-18 18:00:00
32820,32820,19.285,1.527,2237.8,8.562,8.861,145.13,120.06,1.914,0.0,8.363,8.315,66.829,57.879,61.402,59.355,52.977,0.69,2018-05-18 19:00:00
32880,32880,19.285,1.519,2237.8,8.667,8.889,145.23,119.78,1.883,0.0,8.398,8.356,66.765,57.93,61.414,59.328,52.961,0.685,2018-05-18 20:00:00
32940,32940,19.24,1.525,2237.8,8.473,8.921,145.38,119.94,1.914,0.0,8.365,8.317,66.91,57.973,61.426,59.395,52.965,0.692,2018-05-18 21:00:00
33000,33000,19.441,1.546,2233.6,8.56,8.835,145.27,120.07,1.914,0.0,8.373,8.341,66.631,57.902,61.422,59.437,52.937,0.698,2018-05-18 22:00:00
33060,33060,19.397,1.527,2233.6,8.848,8.889,145.32,119.66,1.883,0.0,8.403,8.361,66.768,57.926,61.43,59.371,53.0,0.691,2018-05-18 23:00:00
33120,33120,19.528,1.553,2231.6,8.669,8.865,145.43,120.04,1.953,0.0,8.385,8.341,66.859,57.945,61.41,59.484,52.945,0.696,2018-05-19 00:00:00
33180,33180,19.097,1.509,2235.6,8.533,8.856,145.48,120.1,1.891,0.0,8.345,8.31,66.709,57.93,61.437,59.363,53.039,0.694,2018-05-19 01:00:00
33240,33240,19.321,1.536,2234.4,8.703,8.869,145.35,120.04,1.937,0.0,8.384,8.333,66.956,57.93,61.441,59.461,53.027,0.695,2018-05-19 02:00:00
33300,33300,19.167,1.515,2233.8,8.679,8.859,145.27,120.08,1.844,0.0,8.396,8.356,67.161,57.93,61.414,59.383,52.977,0.689,2018-05-19 03:00:00
33360,33360,19.463,1.56,2232.2,8.781,8.893,145.46,120.09,1.922,0.0,8.349,8.305,66.701,58.023,61.437,59.477,53.012,0.692,2018-05-19 04:00:00
33420,33420,19.378,1.529,2233.2,8.86,8.846,145.31,119.87,1.836,0.0,8.393,8.354,67.056,58.039,61.504,59.449,53.043,0.687,2018-05-19 05:00:00
33480,33480,19.446,1.55,2234.4,8.983,8.869,145.43,120.22,1.977,0.0,8.342,8.305,66.791,58.02,61.48,59.477,53.039,0.695,2018-05-19 06:00:00
33540,33540,19.141,1.509,2228.6,8.736,8.816,145.68,120.48,1.953,0.0,8.392,8.349,69.675,57.934,61.934,59.316,52.984,0.62,2018-05-19 07:00:00
33600,33600,19.212,1.517,2229.8,8.772,8.824,145.91,120.56,2.133,0.0,8.363,8.325,69.141,57.957,62.039,59.285,52.934,0.637,2018-05-19 08:00:00
33660,33660,19.156,1.529,2227.8,9.061,8.874,145.84,120.41,2.023,0.0,8.368,8.328,69.432,57.93,61.793,59.336,52.988,0.694,2018-05-19 09:00:00
33720,33720,19.026,1.502,2227.8,8.721,8.886,145.92,120.49,2.055,0.0,8.39,8.342,69.678,57.875,62.012,59.191,52.937,0.625,2018-05-19 10:00:00
33780,33780,19.023,1.493,2231.8,9.031,8.904,145.84,120.52,1.953,0.0,8.365,8.321,69.542,57.766,62.094,59.164,52.855,0.635,2018-05-19 11:00:00
33840,33840,18.98,1.501,2229.8,8.952,8.889,145.99,120.48,2.0,0.0,8.411,8.365,69.135,57.676,62.02,59.055,52.801,0.633,2018-05-19 12:00:00
33900,33900,18.94,1.483,2231.6,9.088,8.949,146.06,120.43,2.0,0.0,8.358,8.31,68.831,57.672,62.02,58.957,52.805,0.618,2018-05-19 13:00:00
33960,33960,19.152,1.508,2227.8,9.239,8.918,145.63,120.48,1.859,0.0,8.415,8.373,70.197,57.703,61.734,58.973,52.699,0.679,2018-05-19 14:00:00
34020,34020,18.975,1.49,2229.8,9.084,8.916,145.79,120.64,1.898,0.0,8.381,8.34,69.337,57.621,61.934,58.898,52.699,0.642,2018-05-19 15:00:00
34080,34080,18.945,1.485,2231.8,8.639,8.929,145.87,120.59,2.047,0.0,8.413,8.357,69.018,57.504,61.918,58.895,52.723,0.617,2018-05-19 16:00:00
34140,34140,18.974,1.491,2235.8,9.088,8.958,145.98,120.52,1.891,0.0,8.373,8.337,69.42,57.527,61.887,58.895,52.695,0.633,2018-05-19 17:00:00
34200,34200,19.014,1.488,2235.6,8.82,8.943,146.24,120.77,1.945,0.0,8.417,8.372,69.416,57.383,61.836,58.789,52.605,0.619,2018-05-19 18:00:00
34260,34260,18.756,1.466,2231.8,8.604,8.965,145.94,120.57,2.0,0.0,8.378,8.34,69.43,57.277,61.777,58.707,52.629,0.612,2018-05-19 19:00:00
34320,34320,19.295,1.513,2229.6,8.701,8.913,145.87,120.45,1.937,0.0,8.43,8.388,70.22,57.437,61.469,58.801,52.539,0.683,2018-05-19 20:00:00
34380,34380,18.85,1.465,2233.4,8.978,8.973,145.92,120.3,1.859,0.0,8.405,8.357,69.298,57.348,61.684,58.637,52.469,0.612,2018-05-19 21:00:00
34440,34440,19.345,1.518,2231.6,8.898,8.907,145.81,120.43,1.953,0.0,8.413,8.356,69.445,57.379,61.422,58.797,52.488,0.692,2018-05-19 22:00:00
34500,34500,19.431,1.526,2228.0,9.1,8.934,145.83,120.38,2.031,0.0,8.371,8.321,70.181,57.434,61.289,58.883,52.551,0.697,2018-05-19 23:00:00
34560,34560,19.221,1.501,2229.8,9.346,8.946,146.05,120.71,1.914,0.0,8.439,8.389,69.871,57.437,61.602,58.797,52.555,0.621,2018-05-20 00:00:00
34620,34620,18.893,1.481,2230.0,9.061,8.941,145.98,120.49,1.977,0.0,8.384,8.332,69.091,57.344,61.687,58.773,52.633,0.645,2018-05-20 01:00:00
34680,34680,19.133,1.495,2227.8,8.773,8.892,145.94,120.38,2.008,0.0,8.427,8.376,70.069,57.367,61.414,58.785,52.551,0.679,2018-05-20 02:00:00
34740,34740,18.889,1.477,2229.8,8.598,8.919,145.94,120.77,1.953,0.0,8.371,8.33,69.093,57.445,61.672,58.691,52.527,0.65,2018-05-20 03:00:00
34800,34800,19.196,1.49,2229.8,8.858,8.898,146.02,120.69,1.945,0.0,8.429,8.393,69.497,57.277,61.684,58.695,52.496,0.642,2018-05-20 04:00:00
34860,34860,19.02,1.485,2233.6,9.049,8.969,146.09,120.45,1.977,0.0,8.381,8.331,69.097,57.266,61.668,58.621,52.484,0.619,2018-05-20 05:00:00
34920,34920,18.906,1.467,2236.0,9.026,8.935,146.05,120.9,1.883,0.0,8.41,8.361,69.444,57.184,61.672,58.516,52.496,0.612,2018-05-20 06:00:00
34980,34980,18.994,1.475,2233.2,9.295,8.953,145.88,120.51,1.953,0.0,8.447,8.403,69.356,57.25,61.398,58.602,52.473,0.673,2018-05-20 07:00:00
35040,35040,19.021,1.481,2233.8,8.799,8.931,145.83,120.4,2.047,0.0,8.446,8.41,69.629,57.293,61.234,58.648,52.461,0.66,2018-05-20 08:00:00
35100,35100,19.11,1.486,2234.2,8.956,8.924,146.13,120.48,2.031,0.0,8.432,8.382,69.405,57.281,61.52,58.637,52.449,0.647,2018-05-20 09:00:00
35160,35160,19.055,1.487,2231.8,9.239,8.966,146.13,120.61,1.891,0.0,8.39,8.348,69.57,57.254,61.59,58.648,52.484,0.603,2018-05-20 10:00:00
35220,35220,18.722,1.458,2231.6,8.443,8.904,145.83,120.57,1.977,0.0,8.432,8.388,69.785,57.199,61.613,58.527,52.461,0.619,2018-05-20 11:00:00
35280,35280,19.049,1.5,2234.0,9.171,8.947,146.03,120.43,2.023,0.0,8.405,8.363,69.867,57.289,61.328,58.664,52.473,0.859,2018-05-20 12:00:00
35340,35340,19.25,1.503,2235.4,8.823,8.94,145.96,120.57,2.086,0.0,8.399,8.354,69.066,57.273,61.59,58.539,52.297,0.61,2018-05-20 13:00:00
35400,35400,18.958,1.482,2235.6,8.876,8.944,146.05,120.69,1.898,0.0,8.434,8.392,68.848,57.117,61.562,58.543,52.395,0.61,2018-05-20 14:00:00
35460,35460,18.782,1.475,2234.2,8.879,9.016,146.1,120.56,2.047,0.0,8.412,8.366,69.229,57.105,61.512,58.473,52.391,0.622,2018-05-20 15:00:00
35520,35520,19.318,1.507,2811.0,7.033,8.929,188.8,165.24,0.492,0.0,8.42,8.38,11.561,57.113,60.816,58.539,52.305,0.956,2018-05-20 16:00:00
35580,35580,19.258,1.508,2236.6,8.977,8.931,146.16,120.71,1.977,0.0,8.424,8.374,69.727,57.105,61.402,58.625,52.371,0.619,2018-05-20 17:00:00
35640,35640,18.925,1.466,2231.8,8.664,8.927,146.05,120.81,1.945,0.0,8.417,8.381,69.752,57.078,61.41,58.453,52.371,0.602,2018-05-20 18:00:00
35700,35700,19.073,1.488,2229.8,8.874,8.932,145.96,120.59,2.133,0.0,8.401,8.354,69.944,57.102,61.172,58.531,52.371,0.668,2018-05-20 19:00:00
35760,35760,19.065,1.48,2231.8,8.708,8.938,146.0,120.57,1.992,0.0,8.443,8.399,69.568,57.207,61.426,58.445,52.297,0.602,2018-05-20 20:00:00
35820,35820,18.932,1.488,2233.6,8.809,8.977,145.84,120.33,2.062,0.0,8.387,8.341,69.648,57.207,61.172,58.539,52.367,0.656,2018-05-20 21:00:00
35880,35880,18.907,1.478,2233.6,8.923,8.944,145.99,120.61,2.055,0.0,8.454,8.408,69.194,57.199,61.426,58.449,52.285,0.6,2018-05-20 22:00:00
35940,35940,19.006,1.482,2231.8,8.945,8.964,146.06,120.63,2.078,0.0,8.399,8.365,69.086,57.09,61.441,58.445,52.367,0.612,2018-05-20 23:00:00
36000,36000,19.072,1.481,2235.8,8.706,8.929,146.07,120.25,1.977,0.0,8.425,8.375,69.169,57.09,61.437,58.449,52.312,0.605,2018-05-21 00:00:00
36060,36060,18.84,1.466,2239.6,9.004,8.937,146.2,120.69,1.969,0.0,8.457,8.394,69.184,57.023,61.426,58.285,52.297,0.627,2018-05-21 01:00:00
36120,36120,18.738,1.454,2239.6,8.786,8.929,146.16,120.71,1.953,0.0,8.443,8.384,69.333,56.945,61.426,58.234,52.211,0.65,2018-05-21 02:00:00
36180,36180,18.882,1.467,2235.8,8.592,8.948,146.2,120.65,2.109,0.0,8.425,8.373,69.067,56.863,61.344,58.223,52.133,0.607,2018-05-21 03:00:00
36240,36240,19.131,1.481,2237.6,8.501,8.971,146.02,120.64,2.062,0.0,8.405,8.361,69.551,56.77,61.238,58.219,52.125,0.627,2018-05-21 04:00:00
36300,36300,18.646,1.449,2235.8,8.959,8.969,146.19,120.67,2.055,0.0,8.399,8.357,69.454,56.785,61.25,58.031,52.086,0.623,2018-05-21 05:00:00
36360,36360,18.654,1.451,2237.6,8.508,8.954,146.16,120.71,1.969,0.0,8.44,8.389,69.389,56.586,61.164,58.035,52.051,0.626,2018-05-21 06:00:00
36420,36420,18.898,1.47,2235.8,9.158,8.983,146.33,120.91,2.047,0.0,8.459,8.41,69.281,56.609,61.172,58.059,51.984,0.61,2018-05-21 07:00:00
36480,36480,18.95,1.47,2236.0,8.852,8.988,146.18,120.67,2.047,0.0,8.481,8.425,69.313,56.594,61.137,57.965,51.887,0.618,2018-05-21 08:00:00
36540,36540,18.95,1.474,2239.6,8.994,8.911,146.31,120.61,1.945,0.0,8.472,8.415,69.367,56.602,61.113,57.953,51.887,0.613,2018-05-21 09:00:00
36600,36600,18.775,1.454,2258.0,8.351,8.994,145.41,120.2,1.828,0.0,8.474,8.42,65.488,56.43,60.664,57.859,51.863,0.712,2018-05-21 10:00:00
36660,36660,20.25,1.577,2257.8,8.697,9.021,145.41,120.13,1.828,0.0,8.434,8.373,65.379,56.437,60.465,57.949,51.465,0.701,2018-05-21 11:00:00
36720,36720,18.989,1.473,2256.0,8.512,9.007,145.19,119.97,1.977,0.044,8.442,8.396,65.349,56.43,60.344,57.867,51.781,0.695,2018-05-21 12:00:00
36780,36780,20.604,1.609,2255.8,8.429,8.989,145.32,119.99,1.867,0.0,8.446,8.4,65.511,56.422,60.324,58.035,51.418,0.707,2018-05-21 13:00:00
36840,36840,19.916,1.54,2254.0,8.669,9.011,145.13,120.02,1.937,0.0,8.479,8.428,65.418,56.516,60.262,58.035,51.625,0.697,2018-05-21 14:00:00
36900,36900,19.223,1.497,2253.8,8.886,8.974,145.21,120.04,1.945,0.0,8.429,8.377,65.344,56.594,60.254,58.035,51.863,0.701,2018-05-21 15:00:00
36960,36960,20.613,1.609,2254.0,8.57,8.994,145.23,120.0,1.891,0.0,8.41,8.364,65.38,56.52,60.168,58.223,51.547,0.696,2018-05-21 16:00:00
37020,37020,19.105,1.5,2834.0,10.941,8.967,188.21,164.91,0.797,0.0,8.428,8.371,11.457,56.598,59.672,58.203,52.039,0.85,2018-05-21 17:00:00
37080,37080,19.584,1.525,2251.8,8.638,8.972,145.19,119.84,1.953,0.0,8.434,8.382,65.52,56.586,60.137,58.277,51.867,0.735,2018-05-21 18:00:00
37140,37140,19.348,1.524,2254.0,8.642,8.971,145.13,119.94,1.883,0.0,8.42,8.373,65.239,56.762,60.23,58.437,52.117,0.679,2018-05-21 19:00:00
37200,37200,18.984,1.486,2252.2,8.768,8.942,145.16,119.91,1.859,1.199,8.438,8.393,65.417,56.852,60.344,58.437,52.289,0.705,2018-05-21 20:00:00
37260,37260,18.97,1.483,2255.6,8.514,8.951,145.29,119.98,1.844,0.0,8.403,8.359,65.292,56.848,60.316,58.445,52.297,0.692,2018-05-21 21:00:00
37320,37320,19.469,1.535,2835.6,10.11,8.908,188.36,164.78,0.828,0.0,8.433,8.386,11.404,56.84,59.801,58.613,52.297,0.801,2018-05-21 22:00:00
37380,37380,19.362,1.526,2252.0,9.034,8.962,145.21,120.1,1.859,0.0,8.382,8.344,65.508,57.012,60.352,58.691,52.379,0.695,2018-05-21 23:00:00
37440,37440,19.039,1.504,2250.2,8.474,8.909,145.35,120.09,1.867,0.0,8.412,8.361,65.295,57.094,60.488,58.707,52.449,0.706,2018-05-22 00:00:00
37500,37500,19.435,1.541,2252.0,8.488,8.937,145.19,119.92,1.883,0.0,8.434,8.38,65.317,57.211,60.582,58.895,52.484,0.71,2018-05-22 01:00:00
37560,37560,18.991,1.499,2251.4,8.599,8.926,145.01,119.87,1.969,0.0,8.373,8.33,65.345,57.281,60.598,58.703,52.473,0.705,2018-05-22 02:00:00
37620,37620,19.361,1.539,2249.8,8.947,8.937,145.16,119.84,1.937,0.0,8.401,8.359,65.326,57.262,60.668,58.879,52.477,0.694,2018-05-22 03:00:00
37680,37680,19.305,1.516,2246.4,8.309,8.926,145.05,119.94,1.945,0.0,8.431,8.381,65.445,57.277,60.75,58.867,52.523,0.699,2018-05-22 04:00:00
37740,37740,19.012,1.496,2247.0,8.632,8.902,145.27,119.94,1.867,0.0,8.42,8.374,65.547,57.301,60.758,58.777,52.527,0.698,2018-05-22 05:00:00
37800,37800,19.221,1.519,2249.6,8.554,8.906,145.13,119.99,1.812,0.0,8.43,8.377,65.463,57.289,60.926,58.863,52.527,0.688,2018-05-22 06:00:00
37860,37860,18.951,1.493,2251.8,8.938,8.882,145.29,119.83,1.977,0.0,8.427,8.387,64.906,57.289,61.238,58.691,52.461,0.641,2018-05-22 07:00:00
37920,37920,19.01,1.501,2246.0,8.691,8.892,145.27,119.94,1.812,0.0,8.43,8.39,65.314,57.281,61.086,58.777,52.527,0.7,2018-05-22 08:00:00
37980,37980,19.131,1.503,2251.6,8.474,8.911,145.18,119.83,1.844,0.0,8.417,8.369,65.247,57.367,61.031,58.762,52.488,0.695,2018-05-22 09:00:00
38040,38040,18.633,1.472,2833.8,11.312,8.915,188.34,165.15,0.687,0.798,8.392,8.356,11.367,57.273,60.336,58.637,52.484,0.818,2018-05-22 10:00:00
38100,38100,19.125,1.531,2263.6,8.51,8.934,146.11,120.82,2.109,8.595,8.382,8.345,65.485,57.367,60.91,58.957,52.617,0.713,2018-05-22 11:00:00
38160,38160,19.144,1.52,2253.8,8.461,8.956,145.59,120.26,2.031,0.0,8.429,8.377,65.489,57.359,61.008,58.863,52.539,0.677,2018-05-22 12:00:00
38220,38220,18.953,1.497,2257.6,8.709,8.921,145.66,120.17,2.211,0.0,8.39,8.345,64.865,57.273,61.344,58.789,52.551,0.626,2018-05-22 13:00:00
38280,38280,18.929,1.492,2249.8,8.766,8.896,145.19,119.83,1.937,0.0,8.42,8.377,65.482,57.262,61.156,58.785,52.543,0.695,2018-05-22 14:00:00
38340,38340,19.016,1.504,2254.8,8.714,8.915,145.29,120.34,2.023,0.0,8.438,8.394,65.549,57.266,61.008,58.77,52.555,0.686,2018-05-22 15:00:00
38400,38400,19.097,1.521,2251.6,8.686,8.944,145.32,120.1,1.859,0.0,8.403,8.351,65.467,57.355,61.016,58.855,52.539,0.692,2018-05-22 16:00:00
38460,38460,19.116,1.52,2252.0,8.899,8.929,145.32,119.97,1.992,0.0,8.406,8.356,65.153,57.348,60.926,58.855,52.543,0.703,2018-05-22 17:00:00
38520,38520,19.147,1.522,2258.0,8.366,8.922,145.32,120.06,2.008,0.0,8.401,8.344,65.152,57.422,60.937,58.863,52.543,0.7,2018-05-22 18:00:00
38580,38580,19.083,1.517,2250.0,8.729,8.886,145.29,120.27,1.898,0.0,8.377,8.335,65.632,57.348,60.934,58.949,52.617,0.695,2018-05-22 19:00:00
38640,38640,18.898,1.499,2251.8,8.281,8.92,145.21,120.14,1.828,0.0,8.395,8.34,64.981,57.332,61.328,58.773,52.551,0.63,2018-05-22 20:00:00
38700,38700,19.077,1.518,2252.0,8.764,8.881,145.14,120.06,1.914,0.0,8.437,8.384,65.32,57.355,61.137,58.871,52.543,0.701,2018-05-22 21:00:00
38760,38760,19.077,1.519,2251.8,8.578,8.936,145.14,119.91,1.953,0.0,8.373,8.335,65.263,57.355,61.059,58.891,52.555,0.695,2018-05-22 22:00:00
38820,38820,19.164,1.518,2253.6,8.833,8.924,145.03,119.84,1.914,0.0,8.441,8.389,65.37,57.434,60.996,58.867,52.543,0.679,2018-05-22 23:00:00
38880,38880,19.054,1.52,2252.0,8.409,8.918,145.08,119.97,2.023,0.0,8.381,8.331,65.16,57.348,60.926,58.879,52.543,0.679,2018-05-23 00:00:00
38940,38940,19.164,1.516,2253.6,8.363,8.898,145.13,119.73,2.0,0.0,8.423,8.37,65.137,57.437,60.953,58.879,52.543,0.704,2018-05-23 01:00:00
39000,39000,19.383,1.551,2249.8,8.611,8.914,144.94,119.94,1.859,0.0,8.413,8.361,65.405,57.437,60.926,58.961,52.535,0.705,2018-05-23 02:00:00
39060,39060,19.047,1.521,2236.0,8.983,8.929,145.29,120.18,2.023,0.0,8.37,8.325,66.681,57.445,60.977,58.895,52.617,0.705,2018-05-23 03:00:00
39120,39120,19.375,1.545,2237.8,8.418,8.918,145.38,119.97,1.891,0.0,8.436,8.388,67.143,57.516,60.988,59.059,52.594,0.683,2018-05-23 04:00:00
39180,39180,19.184,1.531,2237.8,9.094,8.884,145.25,119.94,2.008,0.0,8.373,8.327,66.67,57.504,61.004,59.082,52.687,0.689,2018-05-23 05:00:00
39240,39240,19.064,1.516,2239.6,8.792,8.893,145.35,119.87,1.969,0.0,8.41,8.352,66.594,57.527,61.02,59.07,52.699,0.689,2018-05-23 06:00:00
39300,39300,18.866,1.514,2236.0,9.017,8.884,145.32,120.1,1.969,0.0,8.371,8.323,66.752,57.527,61.031,58.977,52.684,0.676,2018-05-23 07:00:00
39360,39360,19.132,1.53,2238.0,8.558,8.833,145.35,119.99,2.086,0.0,8.427,8.38,66.661,57.52,61.07,59.094,52.687,0.701,2018-05-23 08:00:00
39420,39420,18.631,1.489,2238.2,8.621,8.905,145.49,120.06,1.891,0.0,8.371,8.33,66.427,57.504,61.414,58.891,52.684,0.635,2018-05-23 09:00:00
39480,39480,18.928,1.51,2239.6,8.592,8.911,145.23,120.02,1.945,0.0,8.373,8.33,66.702,57.449,61.195,58.965,52.699,0.69,2018-05-23 10:00:00
39540,39540,19.177,1.526,2238.0,8.548,8.891,145.16,120.14,1.812,0.0,8.42,8.38,66.659,57.539,61.18,58.992,52.602,0.706,2018-05-23 11:00:00
39600,39600,19.163,1.536,2236.0,8.763,8.934,145.38,120.02,1.922,0.0,8.375,8.32,66.965,57.512,61.152,58.984,52.629,0.701,2018-05-23 12:00:00
39660,39660,18.842,1.506,2241.6,8.586,8.922,145.62,120.43,1.844,0.0,8.391,8.349,66.273,57.449,61.43,58.883,52.609,0.634,2018-05-23 13:00:00
39720,39720,19.106,1.529,2239.8,8.686,8.916,145.37,120.02,1.859,0.0,8.408,8.361,67.072,57.449,61.184,58.984,52.629,0.673,2018-05-23 14:00:00
39780,39780,18.877,1.51,2241.8,9.084,8.956,145.35,119.92,1.844,0.0,8.386,8.336,66.752,57.516,61.184,58.797,52.543,0.678,2018-05-23 15:00:00
39840,39840,18.908,1.5,2243.8,8.498,8.928,145.7,120.1,1.914,0.0,8.448,8.387,66.404,57.437,61.441,58.668,52.5,0.615,2018-05-23 16:00:00
39900,39900,19.119,1.516,2239.8,9.016,8.941,145.51,120.14,1.891,0.0,8.389,8.339,66.665,57.262,61.164,58.812,52.477,0.697,2018-05-23 17:00:00
39960,39960,19.318,1.53,2241.4,8.929,8.851,145.37,120.05,1.953,0.0,8.441,8.392,66.619,57.348,61.109,58.879,52.496,0.688,2018-05-23 18:00:00
40020,40020,19.042,1.519,2239.6,8.788,8.929,145.4,119.98,1.937,0.0,8.394,8.342,67.006,57.277,61.152,58.789,52.484,0.678,2018-05-23 19:00:00
40080,40080,19.179,1.534,2240.2,8.466,8.932,145.65,120.14,2.078,0.0,8.417,8.361,66.58,57.348,61.09,58.879,52.512,0.7,2018-05-23 20:00:00
40140,40140,19.013,1.51,2240.0,9.021,8.922,145.59,120.05,1.898,0.0,8.42,8.385,66.748,57.348,61.023,58.797,52.488,0.706,2018-05-23 21:00:00
40200,40200,18.802,1.496,2236.2,8.309,8.943,145.27,120.06,1.922,0.0,8.386,8.335,66.749,57.355,60.988,58.691,52.484,0.698,2018-05-23 22:00:00
40260,40260,19.273,1.531,2239.2,8.974,8.952,145.25,119.89,1.945,0.0,8.427,8.369,66.97,57.355,60.949,58.867,52.496,0.693,2018-05-23 23:00:00
40320,40320,19.079,1.524,2240.2,8.726,8.907,145.32,119.91,1.914,0.0,8.43,8.374,66.434,57.449,60.953,58.863,52.539,0.688,2018-05-24 00:00:00
40380,40380,19.068,1.521,2819.0,9.201,8.943,188.62,164.88,0.891,0.0,8.389,8.337,11.492,57.281,60.352,58.871,52.551,0.801,2018-05-24 01:00:00
40440,40440,18.981,1.518,2245.0,8.711,8.897,145.59,120.54,2.242,6.841,8.378,8.337,68.4,57.359,60.926,59.047,52.727,0.706,2018-05-24 02:00:00
40500,40500,18.894,1.505,2239.6,8.841,8.864,145.52,119.99,2.0,0.0,8.401,8.347,66.388,57.355,61.309,58.871,52.633,0.628,2018-05-24 03:00:00
40560,40560,19.073,1.515,2239.0,8.682,8.946,145.34,120.19,1.953,0.0,8.388,8.344,67.03,57.348,61.129,58.945,52.641,0.677,2018-05-24 04:00:00
40620,40620,18.759,1.495,2241.6,8.901,8.925,145.59,120.26,1.844,0.0,8.386,8.345,67.127,57.445,61.047,58.855,52.633,0.686,2018-05-24 05:00:00
40680,40680,18.622,1.474,2241.8,8.536,8.897,145.73,120.38,1.977,0.0,8.42,8.375,66.679,57.359,61.395,58.703,52.539,0.627,2018-05-24 06:00:00
40740,40740,19.051,1.519,2239.8,8.857,8.916,145.64,120.08,1.914,0.0,8.413,8.364,66.916,57.277,61.164,58.785,52.473,0.692,2018-05-24 07:00:00
40800,40800,19.042,1.511,2241.6,8.922,8.937,145.38,120.18,1.977,0.0,8.396,8.34,66.686,57.355,61.098,58.773,52.484,0.684,2018-05-24 08:00:00
40860,40860,19.209,1.53,2238.0,8.939,8.891,145.41,120.25,1.773,0.0,8.415,8.375,66.659,57.355,61.008,58.855,52.5,0.685,2018-05-24 09:00:00
40920,40920,18.713,1.481,2242.0,8.456,8.953,145.31,120.36,1.969,0.0,8.381,8.344,66.234,57.273,61.344,58.676,52.484,0.614,2018-05-24 10:00:00
